vehicle,month_ts,Month,Ca,I_ave,I_sum,I_std,Vpack_ave,Vpack_sum,Vpack_std,SOC_ave,SOC_sum,SOC_std,Vmax_ave,Vmax_sum,Vmax_std,Vmin_ave,Vmin_sum,Vmin_std,Tmax_ave,Tmax_sum,Tmax_std,Tmin_ave,Tmin_sum,Tmin_std,Vd_ave,Vd_sum,Vd_std,Td_ave,Td_sum,Td_std
1,2019-07-01,7,133.89123386389605,-42.44911648777578,-355935.84174999996,19.098846492308233,350.28350626118066,2937127.1999999997,17.392413540608782,62.507620751341676,524126.39999999997,22.63315451121829,3.906113774597496,32752.764000000003,0.19335797330051588,3.8873050685748356,32595.052999999996,0.19268949122351434,38.20834824090638,320377.0,2.979576987564256,35.80966010733452,300264.0,3.06331940287326,0.01880870602265951,157.711,0.005941366906929781,2.3986881335718544,20113.0,0.7995366554344698
1,2019-08-01,8,135.23612519841268,-45.60413465953436,-1862792.088438,20.213759723248867,354.0993732709869,14463897.100000001,18.04504755813273,66.49163953318481,2715984.000012,23.974156206763265,3.9495322545107356,161326.54400000002,0.1999461650103837,3.929193502582809,160495.767,0.199877026516497,38.10767008593042,1556584.0,3.6315158994438375,36.04769016084413,1472440.0,3.5731468280250116,0.020338751927926165,830.777,0.006128310527202602,2.0599799250862976,84144.0,0.7364388195107119
1,2019-09-01,9,134.77164512254905,-47.88632907201363,-2081331.4067860004,20.675622144441338,355.7454214982514,15462119.0,17.84122135098957,68.6539572982238,2983975.6000099992,23.193634693070912,3.9669128934290447,172417.902,0.19660709607185617,3.9450525492361495,171467.764,0.19690387799755352,38.316445794220506,1665386.0,3.2501171754857294,36.16399779127554,1571832.0,3.2173726600735275,0.02186034419289527,950.138,0.006153857977096551,2.1524480029449657,93554.0,0.7718514343888032
1,2019-10-01,10,132.64514679060187,-50.642029114268595,-2366248.8103642003,16.999746482854928,352.33528303905837,16462866.100000001,16.4012801131517,64.4093825575816,3009528.400003,21.463039798604584,3.930860096308186,183669.438,0.1818192477542554,3.9077778063135367,182590.918,0.18097569064162575,36.21971107544141,1692366.0,2.523276111512207,33.9905189941145,1588207.0,2.4906064288443073,0.02308228999464955,1078.5200000000002,0.005513946702596112,2.2291920813269126,104159.0,0.7594115319260432
1,2019-11-01,11,131.9170191975789,-49.5745372921261,-2041181.9984660002,13.549152500397778,348.65977315781805,14355717.5,15.760073755067726,58.85536503662505,2423310.800018,21.76179695641901,3.8894179822217905,160142.896,0.17544040542526648,3.866540996745519,159200.959,0.17331131926276294,31.663938407733035,1303731.0,3.524552922325515,29.740345849322388,1224529.0,3.4077330898495486,0.02287698547627143,941.9369999999999,0.005067341555540148,1.9235925584106475,79202.0,0.7665789105075054
1,2019-12-01,12,130.7580910468048,-52.32290705568578,-2299225.5047480003,16.566924601144763,351.86889151855814,15462174.700000001,16.915052009178126,62.2300616711194,2734575.6000139997,22.59930752305727,3.9258342625674167,172512.935,0.1875148920458416,3.901003185945429,171421.783,0.18615869512821598,28.653915299365085,1259139.0,3.7592560561783888,26.613021414104637,1169456.0,3.7441940251603305,0.024831076621987577,1091.152,0.005667346369198397,2.0408938852604512,89683.0,0.8269397576423904
1,2020-01-01,1,130.8492002548759,-49.37839037153171,-1873959.29299,15.374437543623559,351.2506600616584,13330313.799999997,16.741620883441723,61.620173381597326,2338547.200005,22.375274739737073,3.9181273747727334,148696.852,0.1858094678504633,3.893246660167058,147752.60400000002,0.18392516046523205,27.558404258122316,1045869.0,4.877963954698116,25.500039524650205,967752.0,4.65372219253955,0.024880714605675744,944.2480000000002,0.005760855154386631,2.058364733472109,78117.0,0.9439751541228489
1,2020-02-01,2,128.67557923904917,-47.467876885270286,-638395.47623,17.610937662485377,353.5806900141274,4755306.699999999,17.810823785378314,63.51211242501301,854174.4000039999,23.559248217033517,3.9433353409175402,53033.917,0.19724935380806222,3.9183395047958958,52697.748,0.1955448127639222,23.50531638040003,316123.0,4.3043714054936135,21.955535727563387,295280.0,4.098800355180869,0.024995836121644736,336.16900000000004,0.006250417589278394,1.5497806528366422,20843.0,0.6331207120619081
1,2020-03-01,3,127.22573310765671,-51.1662117636882,-1202508.3088702,17.927413848042058,354.05852693387794,8321083.5,15.970967093411605,65.33849034124754,1535585.1999999997,20.682396624961356,3.949368819674921,92818.06599999999,0.17690694115044964,3.9209402604033703,92149.93800000001,0.1751195832626188,27.88324397923581,655312.0,3.203821471737307,26.386775593566504,620142.0,3.1558273781877064,0.028428559271551353,668.1279999999999,0.0065744026683638,1.4964683856693048,35170.0,0.6104920051067968
1,2020-04-01,4,125.40886442784907,-56.911869566514966,-1525579.5756,16.964064783123597,353.8346526896963,9484891.7,16.51346033383495,64.96476908158621,1741445.600001,22.22155953723962,3.94826605983735,105837.22,0.18254147986081662,3.917214690740879,105004.857,0.1806061130234342,30.725322688950236,823623.0,4.962398908858514,28.77385659926882,771312.0,4.8269197085144535,0.031051369096470938,832.3629999999999,0.006581096854717123,1.9514660896814147,52311.0,0.7213879392739548
1,2020-05-01,5,124.47559410919544,-58.08309345544052,-1683073.7990583,13.406096000553077,354.82636573834424,10281803.600000001,15.959899251486748,67.02028505366326,1942046.8,21.218362209723225,3.960203644269593,114754.821,0.1767680210547067,3.9266387824826587,113782.212,0.17455638655966885,36.82071988128516,1066954.0,2.7724035562174176,34.572074403837526,1001795.0,2.8398106218309103,0.03356486178693447,972.6090000000002,0.006136168498000284,2.248645477447631,65159.0,0.7539913312939472
