,abs_PCC_with_Ca
Vmax_std,0.8389702168806727
Vpack_std,0.8383188443442583
Vmin_std,0.8345729035465569
I_ave,0.6581802640076992
I_std,0.5291449938144939
Vd_ave,0.5210405440171427
SOC_std,0.4403693952652144
Vmin_ave,0.4067883740597401
SOC_sum,0.39074097062419855
Vmin_sum,0.3836728857677297
