,Ca,Month,I_ave,I_std,I_sum,Vpack_ave,Vpack_std,Vpack_sum,SOC_ave,SOC_std,SOC_sum,Vmax_ave,Vmax_std,Vmax_sum,Vmin_ave,Vmin_std,Vmin_sum,Tmax_ave,Tmax_std,Tmax_sum,Tmin_ave,Tmin_std,Tmin_sum,Vd_ave,Vd_std,Vd_sum,Td_ave,Td_std,Td_sum
SOC_sum,0.39074097062419855,0.2448836103500371,0.3646912609921823,0.23855389858015222,-0.9465443931160747,0.14370895222385052,0.4094479729179527,0.9954741602745679,0.03892909249307605,0.24847968811221777,1.0,0.13211349575477216,0.41941691229069056,0.995452298687011,0.16444051312458494,0.40389400498479516,0.9954468474904342,0.0636745926585796,0.004498693615758052,0.9133290442694851,0.053146253679020435,0.03906545353465511,0.906242051013643,-0.21387812320956395,-0.011796357865710275,0.8476362488549118,0.26351075352371695,0.09062669763823157,0.9603534418586809
Vmax_ave,0.3280556695507504,-0.35711016476039636,0.31491893158820133,0.3642337465441042,0.040769547449605203,0.9950777293311519,0.48234112867110607,0.06043826604244086,0.8946259097372502,-0.17645710615830199,0.13211349575477216,1.0,0.45659468275414855,0.060308445730954736,0.9882257125876633,0.4868061038609121,0.06028941977817208,-0.5033927178889421,0.15289319617561464,-0.11646011226591371,-0.5038633832098819,0.1794787398349463,-0.12334216218434885,0.05479641414551946,-0.09611446228959976,0.053777110171147204,-0.1369631976565363,0.07383048644150961,0.011689783501864037
Vmax_std,0.8389702168806727,-0.11337884006988619,0.648006163037586,0.5889978626530776,-0.22157451446296234,0.4776690683987485,0.9976772458471994,0.4015109813002791,0.17967944260809124,0.6814232272869486,0.41941691229069056,0.45659468275414855,1.0,0.40098383767292545,0.526323856466535,0.9931980374258698,0.4023961669643309,-0.06759830459486063,-0.03266434005114139,0.3293193641012705,-0.07192285155912304,-0.004070002226051221,0.32526678566778766,-0.4651168596881349,-0.09129605007652006,0.15804428911607624,0.08069135527947453,-0.020190051081275286,0.37207166859447427
Vmax_sum,0.38205243369997327,0.26863211206101645,0.3481071888656743,0.2179424845324634,-0.9581680132382344,0.07192803010168979,0.3889622841938919,0.9999968640259663,-0.04569175804784807,0.2730239455437237,0.995452298687011,0.060308445730954736,0.40098383767292545,1.0,0.09370401190229029,0.3829637717139957,0.9999918398422424,0.09191102990077914,-0.015586832505266615,0.9262354073410232,0.08136331831529704,0.01755202235015498,0.9194251304426665,-0.21926870297494894,-0.002798454515117758,0.8518566510362958,0.2722576365519449,0.08628676001049719,0.9674310495475872
Vmin_ave,0.4067883740597401,-0.34826063324403084,0.39342362527479796,0.41677977643032715,0.027705192146981944,0.9924887730516174,0.5499836909265383,0.0940451133778155,0.8739521212143538,-0.11826231539916393,0.16444051312458494,0.9882257125876633,0.526323856466535,0.09370401190229029,1.0,0.560251617176355,0.09423918978703616,-0.5004896283309711,0.14779069880028617,-0.08663648614464636,-0.5016279348125632,0.17689958769220251,-0.09393980899065803,-0.09862196984878309,-0.19364249823292942,0.010336021283872718,-0.12058641350800636,0.07089652597591475,0.04632010301925914
Vmin_std,0.8345729035465569,-0.12413297497370678,0.6483681217154552,0.5951215488907587,-0.20124114076607236,0.5076468453222007,0.9948612023408958,0.3835110884773668,0.21182459308992796,0.6695730625133861,0.40389400498479516,0.4868061038609121,0.9931980374258698,0.3829637717139957,0.560251617176355,1.0,0.3845216106316267,-0.08728447050507997,-0.03158327010955173,0.3063906789578968,-0.09105482010288433,-0.0021228835469423507,0.3023356774148913,-0.49003561592910727,-0.13831303727293623,0.12384713350944582,0.0620211256020254,-0.017759287443350334,0.35106964797068774
Vmin_sum,0.3836728857677297,0.2686002405588675,0.34967132307295234,0.21891743837812924,-0.9575998081484011,0.0721203095420786,0.39035474746938886,0.9999947139374543,-0.0457287482369263,0.27414085753281503,0.9954468474904342,0.06028941977817208,0.4023961669643309,0.9999918398422424,0.09423918978703616,0.3845216106316267,1.0,0.09167001914048938,-0.01558393647870261,0.9261766568412647,0.08111970817261126,0.017601934296586564,0.9193606187447472,-0.2228850159543959,-0.005443103502746316,0.8497337363523907,0.27224726279370665,0.08613805177543916,0.9674763927762533
Tmax_ave,0.014650123837518493,0.2701058831992966,-0.1608856032401951,-0.16560968844970414,-0.15322521715464568,-0.5046159380519224,-0.08065340069062184,0.09169425278429032,-0.4349927601069616,0.2615099928311421,0.0636745926585796,-0.5033927178889421,-0.06759830459486063,0.09191102990077914,-0.5004896283309711,-0.08728447050507997,0.09167001914048938,1.0,-0.4700470630975044,0.44217679249746233,0.9991655585058216,-0.504667504923591,0.45614730079634347,-0.007849495706571586,0.05244110516110249,0.10944546347583886,0.31322243304983066,-0.36993526093706636,0.165118129882724
Tmax_std,-0.11768748706560477,-0.2066176401304274,-0.06964423306879983,0.011764686451781308,0.009401142729015453,0.15156100348726687,-0.02692500894821955,-0.015496218905229843,0.20949056638406355,-0.08950840845700597,0.004498693615758052,0.15289319617561464,-0.03266434005114139,-0.015586832505266615,0.14779069880028617,-0.03158327010955173,-0.01558393647870261,-0.4700470630975044,1.0,-0.17002797938680086,-0.46602740977732254,0.9849980275128674,-0.17476886710016573,0.029928725296150035,-0.007759768866935549,-0.013636733784067103,-0.23157314952522592,0.1796320723659172,-0.07436607328593065
Tmax_sum,0.3348104043254522,0.3208232337251612,0.2547390837176684,0.12864255878830685,-0.9061757509310655,-0.10648020847777383,0.3147632991875983,0.926170823942384,-0.17343602991599436,0.33639479934876737,0.9133290442694851,-0.11646011226591371,0.3293193641012705,0.9262354073410232,-0.08663648614464636,0.3063906789578968,0.9261766568412647,0.44217679249746233,-0.17002797938680086,1.0,0.43321995167793154,-0.15593158070351334,0.9997478914581921,-0.19206180536996567,0.01566818927664007,0.7956570056001241,0.33818234454826457,-0.059214791869259896,0.922136045012307
Tmin_ave,0.013443999281732236,0.2656607395872728,-0.16097021097562866,-0.16562299077742185,-0.14171195644230686,-0.5056140692734545,-0.08492784879913753,0.08113878402357509,-0.43318710187365606,0.25807769582504636,0.053146253679020435,-0.5038633832098819,-0.07192285155912304,0.08136331831529704,-0.5016279348125632,-0.09105482010288433,0.08111970817261126,0.9991655585058216,-0.46602740977732254,0.43321995167793154,1.0,-0.5023227307802502,0.4478035843761432,-0.0034820970998357243,0.05489847611891318,0.1008085013363301,0.27417287643141697,-0.3951387789074555,0.14633363257850296
Tmin_std,-0.09532916761063673,-0.2010386582249332,-0.04970602092227618,0.027920471031696918,-0.019481726386672057,0.17797821990285698,0.0015992243294649848,0.017646474282618545,0.22449098621113373,-0.08130792762799989,0.03906545353465511,0.1794787398349463,-0.004070002226051221,0.01755202235015498,0.17689958769220251,-0.0021228835469423507,0.017601934296586564,-0.504667504923591,0.9849980275128674,-0.15593158070351334,-0.5023227307802502,1.0,-0.16205764197381436,0.012875369830243498,-0.018306436056881533,0.00846202143815235,-0.20280153369989978,0.20156562614669143,-0.037562318206450875
Tmin_sum,0.3322907444168211,0.32123089508478636,0.2509640371422112,0.12543899778558285,-0.899902633144231,-0.11362441869531999,0.310654795278486,0.9193545745957988,-0.17756563396282865,0.3378425951540786,0.906242051013643,-0.12334216218434885,0.32526678566778766,0.9194251304426665,-0.09393980899065803,0.3023356774148913,0.9193606187447472,0.45614730079634347,-0.17476886710016573,0.9997478914581921,0.4478035843761432,-0.16205764197381436,1.0,-0.18916088177822638,0.01766235587562644,0.7906097856720423,0.32803097286055116,-0.07349669113304846,0.9132171292202531
Vd_ave,-0.5210405440171427,-0.049880395544999345,-0.5192629790211755,-0.35094385134966294,0.08435927369286428,-0.0050385262295066305,-0.45206715761800115,-0.22065038470340861,0.11519724131960467,-0.3758894428914388,-0.21387812320956395,0.05479641414551946,-0.4651168596881349,-0.21926870297494894,-0.09862196984878309,-0.49003561592910727,-0.2228850159543959,-0.007849495706571586,0.029928725296150035,-0.19206180536996567,-0.0034820970998357243,0.012875369830243498,-0.18916088177822638,1.0,0.6385862384582623,0.2823110140176123,-0.10385582017165879,0.017519604169944344,-0.22625502004058964
Vd_std,-0.1753164286868975,0.0035406991924835486,0.044587102613026154,0.22078877853414786,0.00977191044149557,-0.13202408748476624,-0.10242746005999465,-0.003760720375175658,-0.10564613517165555,0.0047727255347280615,-0.011796357865710275,-0.09611446228959976,-0.09129605007652006,-0.002798454515117758,-0.19364249823292942,-0.13831303727293623,-0.005443103502746316,0.05244110516110249,-0.007759768866935549,0.01566818927664007,0.05489847611891318,-0.018306436056881533,0.01766235587562644,0.6385862384582623,1.0,0.3405048082900911,-0.04172981501845909,-0.003481967965418331,-0.019978841789103453
Vd_sum,0.11495380797648576,0.23268406679613274,0.09337499841707358,0.0590198325130387,-0.8888773578903318,0.036266734448692044,0.1503920489225776,0.8510747615946221,-0.034078610990011395,0.08747781759328259,0.8476362488549118,0.053777110171147204,0.15804428911607624,0.8518566510362958,0.010336021283872718,0.12384713350944582,0.8497337363523907,0.10944546347583886,-0.013636733784067103,0.7956570056001241,0.1008085013363301,0.00846202143815235,0.7906097856720423,0.2823110140176123,0.3405048082900911,1.0,0.232981418887756,0.09269307585835572,0.8172101760392709
Td_ave,0.032348959562809455,0.18271975978174368,-0.04530417257790598,-0.04835017699725615,-0.31272365279741376,-0.12505812112147863,0.07569061978539877,0.27237431062451994,-0.1697943172677958,0.15664369912133652,0.26351075352371695,-0.1369631976565363,0.08069135527947453,0.2722576365519449,-0.12058641350800636,0.0620211256020254,0.27224726279370665,0.31322243304983066,-0.23157314952522592,0.33818234454826457,0.27417287643141697,-0.20280153369989978,0.32803097286055116,-0.10385582017165879,-0.04172981501845909,0.232981418887756,1.0,0.4773303856499989,0.48528670518863853
Td_std,-0.14493567762665993,-0.09899082207943627,-0.031246177491241117,-0.025195358409485485,-0.0976807756853792,0.07613628018507979,-0.012981897759287764,0.08636329235968414,0.030767734548896454,-0.015922247642699578,0.09062669763823157,0.07383048644150961,-0.020190051081275286,0.08628676001049719,0.07089652597591475,-0.017759287443350334,0.08613805177543916,-0.36993526093706636,0.1796320723659172,-0.059214791869259896,-0.3951387789074555,0.20156562614669143,-0.07349669113304846,0.017519604169944344,-0.003481967965418331,0.09269307585835572,0.4773303856499989,1.0,0.19172662472949797
Td_sum,0.35069950536468486,0.2874251848835159,0.2988406595586887,0.17326369106870954,-0.9397653364719024,0.025366217630780993,0.3596758063742587,0.9674746791718037,-0.08802621834579369,0.28379539478197957,0.9603534418586809,0.011689783501864037,0.37207166859447427,0.9674310495475872,0.04632010301925914,0.35106964797068774,0.9674763927762533,0.165118129882724,-0.07436607328593065,0.922136045012307,0.14633363257850296,-0.037562318206450875,0.9132171292202531,-0.22625502004058964,-0.019978841789103453,0.8172101760392709,0.48528670518863853,0.19172662472949797,1.0
